"Countries","Hits"
"New Zealand",87.9090909090909
"India",85
"Papua New Guinea",56
"United Kingdom",40.6666666666667
"Australia",36.7272727272727
"Kenya",35.4444444444444
"Jamaica",35
"Oman",27
"Sri Lanka",26.7142857142857
"Singapore",25.9
"Qatar",24.5
"Malaysia",23.7
"Uganda",21
"Ghana",20.8571428571429
"Nigeria",19.6666666666667
"Nepal",18.25
"United Arab Emirates",16.5
"South Africa",14
"Pakistan",13.3
"Trinidad & Tobago",13
"Tanzania",6
"Zambia",6
"Ireland",5.6
"Bangladesh",3.5
"Canada",3.27272727272727
"Saudi Arabia",2.42857142857143
"United States",1.36363636363636
"Italy",1
"Philippines",1
"Portugal",1
"Sweden",1
"Thailand",1
"Netherlands",0.5
"Spain",0.4
"France",0.333333333333333
"Germany",0.2
"Vietnam",0
"Afghanistan",NA
"Albania",NA
"Algeria",NA
"American Samoa",NA
"Andorra",NA
"Angola",NA
"Anguilla",NA
"Antarctica",NA
"Antigua & Barbuda",NA
"Argentina",NA
"Armenia",NA
"Aruba",NA
"Austria",NA
"Azerbaijan",NA
"Bahamas",NA
"Bahrain",NA
"Barbados",NA
"Belarus",NA
"Belgium",NA
"Belize",NA
"Benin",NA
"Bermuda",NA
"Bhutan",NA
"Bolivia",NA
"Bosnia & Herzegovina",NA
"Botswana",NA
"Bouvet Island",NA
"Brazil",NA
"British Indian Ocean Territory",NA
"British Virgin Islands",NA
"Brunei",NA
"Bulgaria",NA
"Burkina Faso",NA
"Burundi",NA
"Cambodia",NA
"Cameroon",NA
"Cape Verde",NA
"Caribbean Netherlands",NA
"Cayman Islands",NA
"Central African Republic",NA
"Chad",NA
"Chile",NA
"China",NA
"Christmas Island",NA
"Cocos (Keeling) Islands",NA
"Colombia",NA
"Comoros",NA
"Congo - Brazzaville",NA
"Congo - Kinshasa",NA
"Cook Islands",NA
"Costa Rica",NA
"Croatia",NA
"Cuba",NA
"Curaçao",NA
"Cyprus",NA
"Czechia",NA
"Côte d’Ivoire",NA
"Denmark",NA
"Djibouti",NA
"Dominica",NA
"Dominican Republic",NA
"Ecuador",NA
"Egypt",NA
"El Salvador",NA
"Equatorial Guinea",NA
"Eritrea",NA
"Estonia",NA
"Eswatini",NA
"Ethiopia",NA
"Falkland Islands (Islas Malvinas)",NA
"Faroe Islands",NA
"Fiji",NA
"Finland",NA
"French Guiana",NA
"French Polynesia",NA
"French Southern Territories",NA
"Gabon",NA
"Gambia",NA
"Georgia",NA
"Gibraltar",NA
"Greece",NA
"Greenland",NA
"Grenada",NA
"Guadeloupe",NA
"Guam",NA
"Guatemala",NA
"Guernsey",NA
"Guinea",NA
"Guinea-Bissau",NA
"Guyana",NA
"Haiti",NA
"Heard & McDonald Islands",NA
"Honduras",NA
"Hong Kong",NA
"Hungary",NA
"Iceland",NA
"Indonesia",NA
"Iran",NA
"Iraq",NA
"Isle of Man",NA
"Israel",NA
"Japan",NA
"Jersey",NA
"Jordan",NA
"Kazakhstan",NA
"Kiribati",NA
"Kosovo",NA
"Kuwait",NA
"Kyrgyzstan",NA
"Laos",NA
"Latvia",NA
"Lebanon",NA
"Lesotho",NA
"Liberia",NA
"Libya",NA
"Liechtenstein",NA
"Lithuania",NA
"Luxembourg",NA
"Macao",NA
"Madagascar",NA
"Malawi",NA
"Maldives",NA
"Mali",NA
"Malta",NA
"Marshall Islands",NA
"Martinique",NA
"Mauritania",NA
"Mauritius",NA
"Mayotte",NA
"Mexico",NA
"Micronesia",NA
"Moldova",NA
"Monaco",NA
"Mongolia",NA
"Montenegro",NA
"Montserrat",NA
"Morocco",NA
"Mozambique",NA
"Myanmar (Burma)",NA
"Namibia",NA
"Nauru",NA
"New Caledonia",NA
"Nicaragua",NA
"Niger",NA
"Niue",NA
"Norfolk Island",NA
"North Korea",NA
"North Macedonia",NA
"Northern Mariana Islands",NA
"Norway",NA
"Palau",NA
"Palestine",NA
"Panama",NA
"Paraguay",NA
"Peru",NA
"Pitcairn Islands",NA
"Poland",NA
"Puerto Rico",NA
"Romania",NA
"Russia",NA
"Rwanda",NA
"Réunion",NA
"Samoa",NA
"San Marino",NA
"Senegal",NA
"Serbia",NA
"Seychelles",NA
"Sierra Leone",NA
"Sint Maarten",NA
"Slovakia",NA
"Slovenia",NA
"Solomon Islands",NA
"Somalia",NA
"South Georgia & South Sandwich Islands",NA
"South Korea",NA
"South Sudan",NA
"St. Barthélemy",NA
"St. Helena",NA
"St. Kitts & Nevis",NA
"St. Lucia",NA
"St. Martin",NA
"St. Pierre & Miquelon",NA
"St. Vincent & Grenadines",NA
"Sudan",NA
"Suriname",NA
"Svalbard & Jan Mayen",NA
"Switzerland",NA
"Syria",NA
"São Tomé & Príncipe",NA
"Taiwan",NA
"Tajikistan",NA
"Timor-Leste",NA
"Togo",NA
"Tokelau",NA
"Tonga",NA
"Tunisia",NA
"Turkmenistan",NA
"Turks & Caicos Islands",NA
"Tuvalu",NA
"Türkiye",NA
"U.S. Outlying Islands",NA
"U.S. Virgin Islands",NA
"Ukraine",NA
"Uruguay",NA
"Uzbekistan",NA
"Vanuatu",NA
"Vatican City",NA
"Venezuela",NA
"Wallis & Futuna",NA
"Western Sahara",NA
"Yemen",NA
"Zimbabwe",NA
"Åland Islands",NA
