"DMA","Hits"
"Miami-Ft. Lauderdale FL",88.5333333333333
"Washington DC (Hagerstown MD)",75.6666666666667
"New York NY",71.6666666666667
"Dallas-Ft. Worth TX",68.3333333333333
"West Palm Beach-Ft. Pierce FL",66.7692307692308
"Houston TX",66.75
"Lafayette IN",62.1111111111111
"Harlingen-Weslaco-Brownsville-McAllen TX",61.3333333333333
"Charlottesville VA",59.7777777777778
"Seine-Saint-Denis",58.2727272727273
"Austin TX",57.2727272727273
"Chicago IL",54.5833333333333
"Boston MA-Manchester NH",53.4666666666667
"Hartford & New Haven CT",52.5833333333333
"Orlando-Daytona Beach-Melbourne FL",52.1428571428571
"Atlanta GA",51
"Odessa-Midland TX",50.875
"Baltimore MD",49.4615384615385
"Providence RI-New Bedford MA",49.3333333333333
"Sioux City IA",48.1666666666667
"Ft. Myers-Naples FL",48.0833333333333
"Raleigh-Durham (Fayetteville) NC",47.4285714285714
"Springfield-Holyoke MA",47.3636363636364
"Harrisonburg VA",47.1
"Detroit MI",46.7857142857143
"Philadelphia PA",45.7333333333333
"Gainesville FL",45.25
"Ottumwa IA-Kirksville MO",45.2
"Ft. Smith-Fayetteville-Springdale-Rogers AR",45
"Columbus OH",44.9230769230769
"Tampa-St. Petersburg (Sarasota) FL",44.8571428571429
"Charlotte NC",44.0769230769231
"Amarillo TX",43.625
"San Antonio TX",43.2222222222222
"Rockford IL",42.4285714285714
"Waco-Temple-Bryan TX",42.2222222222222
"South Bend-Elkhart IN",41.8888888888889
"Richmond-Petersburg VA",41.5
"Milwaukee WI",40.5555555555556
"Minneapolis-St. Paul MN",40.1818181818182
"Cincinnati OH",40
"Harrisburg-Lancaster-Lebanon-York PA",39.75
"Tyler-Longview(Lufkin & Nacogdoches) TX",39.75
"Omaha NE",39.5555555555556
"Greensboro-High Point-Winston Salem NC",39.5
"Rochester MN-Mason City IA-Austin MN",39.5
"Madison WI",39.3333333333333
"Indianapolis IN",39.1666666666667
"Albany-Schenectady-Troy NY",39
"Syracuse NY",39
"Utica NY",38.9090909090909
"Binghamton NY",38.3636363636364
"Kansas City MO",38.3333333333333
"Beaumont-Port Arthur TX",38.25
"Lubbock TX",37.625
"Salisbury MD",37.4545454545455
"Sherman TX-Ada OK",37.4285714285714
"Buffalo NY",37.1666666666667
"Des Moines-Ames IA",37
"Wichita-Hutchinson KS",36.25
"Roanoke-Lynchburg VA",36.1818181818182
"Oklahoma City OK",36.1111111111111
"Rochester NY",36.0833333333333
"Champaign & Springfield-Decatur IL",35.625
"Burlington VT-Plattsburgh NY",35.5833333333333
"Wichita Falls TX & Lawton OK",35.4285714285714
"Elmira NY",35.3333333333333
"San Angelo TX",35.3333333333333
"Peoria-Bloomington IL",35.1428571428571
"St. Louis MO",35
"Erie PA",34.9
"Lansing MI",34.3636363636364
"Jacksonville FL",34.1666666666667
"Chattanooga TN",34.0909090909091
"Grand Rapids-Kalamazoo-Battle Creek MI",34
"Victoria TX",34
"Cedar Rapids-Waterloo-Iowa City & Dubuque IA",33.6666666666667
"New Orleans LA",33.5555555555556
"Nashville TN",33.4444444444444
"Savannah GA",33.3636363636364
"Tallahassee FL-Thomasville GA",33.0909090909091
"Topeka KS",32.8571428571429
"Ft. Wayne IN",32.8181818181818
"Tulsa OK",32.7777777777778
"Johnstown-Altoona PA",32.7272727272727
"Norfolk-Portsmouth-Newport News VA",32.6666666666667
"Wilmington NC",32.4545454545455
"Greenville-Spartanburg SC-Asheville NC-Anderson SC",32.3333333333333
"Minot-Bismarck-Dickinson(Williston) ND",32.3333333333333
"Louisville KY",32.1666666666667
"Davenport IA-Rock Island-Moline IL",31.875
"Columbia-Jefferson City MO",31.8571428571429
"Pittsburgh PA",31.75
"Abilene-Sweetwater TX",31.5
"Paris",31.5
"Portland-Auburn ME",31.5
"Watertown NY",31.25
"Memphis TN",31.125
"Greenville-New Bern-Washington NC",30.8333333333333
"Charleston SC",30.3333333333333
"Corpus Christi TX",30
"Lexington KY",29.7272727272727
"Baton Rouge LA",29.5
"Joplin MO-Pittsburg KS",29.4285714285714
"Bangor ME",28.7777777777778
"Columbia SC",28.5454545454545
"Huntsville-Decatur (Florence) AL",28.4444444444444
"Shreveport LA",28.4285714285714
"Wilkes Barre-Scranton PA",28.3636363636364
"Columbus GA",28.2727272727273
"Birmingham AL",28.2222222222222
"Cleveland-Akron (Canton) OH",28.1666666666667
"Albany GA",28
"Green Bay-Appleton WI",28
"Val-d'Oise",27.7142857142857
"Lake Charles LA",27.6
"Panama City FL",27.5
"Augusta GA",27.4545454545455
"Wausau-Rhinelander WI",27.4285714285714
"Evansville IN",27
"Mobile AL-Pensacola (Ft. Walton Beach) FL",27
"Lafayette LA",26.8333333333333
"Dayton OH",26.6666666666667
"La Crosse-Eau Claire WI",26.6666666666667
"Little Rock-Pine Bluff AR",26.5
"Florence-Myrtle Beach SC",26.4545454545455
"Jackson TN",26.2
"Knoxville TN",26
"Presque Isle ME",25.8571428571429
"Lima OH",25.7142857142857
"Columbus-Tupelo-West Point MS",25.2857142857143
"Dothan AL",25.2
"Toledo OH",25.0909090909091
"Montgomery (Selma) AL",25
"Macon GA",24.3636363636364
"Alexandria LA",24
"Hauts-de-Seine",23.7777777777778
"Oise",23.75
"Hattiesburg-Laurel MS",23.6666666666667
"Marquette MI",23.4285714285714
"Val-de-Marne",23.375
"Lozère",23
"Meuse",22
"Moselle",22
"Flint-Saginaw-Bay City MI",21.9
"Wheeling WV-Steubenville OH",21.8571428571429
"Greenwood-Greenville MS",21.8
"Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL",21.7142857142857
"Terre Haute IN",21.5714285714286
"Parkersburg WV",21.4
"Monroe LA-El Dorado AR",21.2857142857143
"Clarksburg-Weston WV",21.2
"Duluth MN-Superior WI",21.1666666666667
"Yvelines",21.125
"Tri-Cities TN-VA",21
"Youngstown OH",21
"Territoire de Belfort",20.75
"Haut-Rhin",20.6
"Essonne",20.5
"Pas-de-Calais",20.4
"Springfield MO",20.375
"Zanesville OH",20.2
"Haute-Saône",20
"Seine-Maritime",20
"Loiret",19.8
"Marne",19.75
"Alpena MI",19.5
"Haute-Marne",19.25
"Bluefield-Beckley-Oak Hill WV",19.1428571428571
"Meurthe-et-Moselle",19
"Seine-et-Marne",18.875
"Meridian MS",18.8
"Traverse City-Cadillac MI",18.625
"St. Joseph MO",18.6
"Indre",18.25
"Eure",18
"Doubs",17.75
"Eure-et-Loir",17.75
"Somme",17.75
"Loir-et-Cher",17.5
"Vaucluse",17.5
"Bas-Rhin",17.4285714285714
"Mayenne",17.25
"Tarn-et-Garonne",17.25
"Ille-et-Vilaine",17.2
"Charleston-Huntington WV",17.1818181818182
"Isere",17.1666666666667
"Creuse",17
"Haute-Vienne",17
"Loire",17
"Sarthe",17
"Vienne",17
"Yonne",17
"Puy-de-Dome",16.75
"Haute-Savoie",16.6666666666667
"Orne",16.5
"Haute-Garonne",16.375
"Corse-du-Sud",16.25
"Deux-Sevres",16.25
"Hautes-Pyrénées",16.25
"Indre-et-Loire",16.25
"Lot-et-Garonne",16.25
"Maine-et-Loire",16.25
"Pyrénées-Orientales",16.25
"Tarn",16.25
"Hérault",16
"Dordogne",15.75
"Drôme",15.75
"Nord",15.5
"Saône-et-Loire",15.5
"Gard",15.25
"Pyrénées-Atlantiques",15
"Haute-Corse",14.75
"Manche",14.75
"Vosges",14.75
"Loire-Atlantique",14.5
"Nievre",14.5
"Rhône",14.5
"Vendee",14.5
"Finistere",14
"Gers",14
"Haute-Loire",14
"Jura",14
"Landes",13.75
"Lot",13.75
"Savoie",13.6
"Morbihan",13.25
"Var",13.1666666666667
"Gironde",12.25
"Ain",NA
"Aisne",NA
"Albuquerque-Santa Fe NM",NA
"Allier",NA
"Alpes-Maritimes",NA
"Alpes-de-Haute-Provence",NA
"Anchorage AK",NA
"Ardeche",NA
"Ardennes",NA
"Ariege",NA
"Aube",NA
"Aude",NA
"Aveyron",NA
"Bakersfield CA",NA
"Bend OR",NA
"Billings, MT",NA
"Biloxi-Gulfport MS",NA
"Boise ID",NA
"Bouches-du-Rhone",NA
"Bowling Green KY",NA
"Butte-Bozeman MT",NA
"Calvados",NA
"Cantal",NA
"Casper-Riverton WY",NA
"Charente",NA
"Charente-Maritime",NA
"Cher",NA
"Cheyenne WY-Scottsbluff NE",NA
"Chico-Redding CA",NA
"Colorado Springs-Pueblo CO",NA
"Correze",NA
"Cotes-d'Armor",NA
"Côte-d'Or",NA
"Denver CO",NA
"El Paso TX",NA
"Eugene OR",NA
"Eureka CA",NA
"Fairbanks AK",NA
"Fargo-Valley City ND",NA
"Fresno-Visalia CA",NA
"Glendive MT",NA
"Grand Junction-Montrose CO",NA
"Great Falls MT",NA
"Hautes-Alpes",NA
"Helena MT",NA
"Honolulu HI",NA
"Idaho Falls-Pocatello ID",NA
"Jackson MS",NA
"Jonesboro AR",NA
"Juneau AK",NA
"Laredo TX",NA
"Las Vegas NV",NA
"Lincoln & Hastings-Kearney NE",NA
"Los Angeles CA",NA
"Mankato MN",NA
"Medford-Klamath Falls OR",NA
"Missoula MT",NA
"Monterey-Salinas CA",NA
"North Platte NE",NA
"Palm Springs CA",NA
"Phoenix AZ",NA
"Portland OR",NA
"Quincy IL-Hannibal MO-Keokuk IA",NA
"Rapid City SD",NA
"Reno NV",NA
"Sacramento-Stockton-Modesto CA",NA
"Salt Lake City UT",NA
"San Diego CA",NA
"San Francisco-Oakland-San Jose CA",NA
"Santa Barbara-Santa Maria-San Luis Obispo CA",NA
"Seattle-Tacoma WA",NA
"Sioux Falls(Mitchell) SD",NA
"Spokane WA",NA
"Tucson (Sierra Vista) AZ",NA
"Twin Falls ID",NA
"Yakima-Pasco-Richland-Kennewick WA",NA
"Yuma AZ-El Centro CA",NA
